what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1285278644700
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1285278644701
os,sysinfo,,,"win32",1285278644706
arch,sysinfo,,,"x86_64",1285278644706
ws,sysinfo,,,"win32",1285278644706
locale,sysinfo,,,"en_US",1285278644706
processors,sysinfo,,,"2",1285278644706
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285278644706
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1285278644706
java.specification.name,sysinfo,,,"Java Platform API Specification",1285278644706
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285278644706
java.specification.version,sysinfo,,,"1.6",1285278644706
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285278644706
java.version,sysinfo,,,"1.6.0_21",1285278644706
java.vm.info,sysinfo,,,"mixed mode",1285278644706
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1285278644706
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285278644706
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285278644706
java.vm.specification.version,sysinfo,,,"1.0",1285278644706
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285278644706
java.vm.version,sysinfo,,,"17.0-b17",1285278644706
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285278649072
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285278649114
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1285278649162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278663489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278669487
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1285278669517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278671601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278702633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1285278702654
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1285278702654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278703205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278704149
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285278704401
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1285278705298
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1285278705300
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1285278705302
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1285278705304
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1285278705307
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1285278705314
